RegionID,RegionName,SizeRank,Bedrooms,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
394913,"New York, NY",1,5,774968,772940,769747.3333,763842,756448.6667,750250.3333,745309.6667,742232.3333,739185.6667,735904.6667,731685.3333,727124.6667,722926.6667,718513,713888.6667,707705,702209,696652.6667,692211.3333,688516,686214.3333,684245.3333,682715.6667,681744.6667,680827,680357.6667,679102.3333,678057.6667,676729.3333,676552.6667,677049.6667,677055.3333,676060,673927.6667,671529,669021.6667,666972.6667,665044.6667,663278.6667,660767.3333,658044.6667,655164.6667,653056.3333,651863,650688.3333,649371.3333,647143,644912.3333,642667.6667,640362.3333,638342.6667,636785.6667,636112.6667,636191,636461.3333,636864,637214.6667,637674.3333,638592.3333,639808.6667,641323,643029.3333,644558.3333,646034.6667,648246,651273.6667,654879.3333,658025.6667,661054.3333,664406.6667,667953.6667,671109.3333,674023,676162,678993.3333,681644,684467.6667,686633.3333,688124,689376.3333,690215,691182.3333,691891,693221.6667,695216.6667,698015,700197.6667,702275,703872,705663,706912,707515.6667,708040.3333,708645.6667,710595.3333,711909.3333,712463,713000.3333,714094,716388.6667,718241.6667,719748,720867,721817.6667,722994,724587.3333,726123.6667,728163,730070,731435,733585,735885,739961,743037,745819.3333,747918,750114.3333,751811.3333,753558.3333,755522.3333,758021,761003,763932.6667,767819,770682,772812.6667,772856.3333,772718.6667,772692.6667,773869.3333,775285.3333,776425.3333,776820.6667,777068.6667,777868.6667,779155.3333,780120.6667,779987.3333,779212,777842.6667,776554,775104.3333,773842.3333
395209,"Washington, DC",7,5,654323,648181,641630,630170,619084.6667,611394.3333,605348.6667,601219.6667,595628.3333,590042.6667,583240.6667,577408.3333,569635,562820.3333,556837,552598.3333,551985.6667,552050,554019.3333,554585,554611.6667,554571,555232.6667,557464.6667,560703.3333,562168,564369.3333,566471.3333,570023.3333,571493.6667,571562.6667,571012,570771.3333,570060.3333,567187.3333,564745,562785,563440.6667,563066,563801.3333,564026.6667,565938,566756,567581,566748,564723.6667,563891,563407,563393.6667,564261,566506,569576.3333,571645,573564,575527,576704.6667,577521.3333,579814.6667,583547,587591,592314,595510,598432.6667,599993.6667,603050,605944.6667,609192.3333,612227,616769.6667,620719,624872.6667,626729.3333,628697,630284,632132,633296.6667,632840.3333,631787,631630,631074,631664.3333,631823.3333,632533.6667,632935.3333,632217,633141,633905.3333,634341.3333,633891.3333,633386.3333,632930.3333,632441,632513.3333,633409,634160.6667,634881.3333,635722.6667,634513.3333,634210,634687.6667,637251.3333,638271.6667,639040.3333,639560.6667,641306,643136.6667,645492.6667,648708.6667,651882.6667,655796.6667,657196.3333,658576.6667,657595.3333,658037.3333,658194,660249.6667,662039,664530.6667,667138.6667,668073,669909.3333,670692.6667,673515,674759.3333,676410.3333,677236.3333,677636.3333,678083.6667,678819,679952.3333,680867.3333,682726.6667,684282.6667,687293,689346.3333,690855,690284,689540,688963.6667,690530.6667,693455.6667,697363.6667,701535.6667
394347,"Atlanta, GA",9,5,362058,360383.5,358639.3333,356021.3333,353922.3333,352587.3333,351158.6667,349430,347377.3333,344378.3333,340407,335442.6667,331404.3333,327528.3333,323971.3333,319300,315151.3333,311904.3333,310097.6667,309242,307874.6667,306066.3333,304155,303362.3333,302293.3333,301381,300483,301050.3333,301820.6667,302023,300189.3333,297589,294365.3333,291839.3333,289051,286906.6667,284419.3333,282657.6667,280394.6667,278496.6667,276015.3333,274370.3333,273414,273937.3333,275002,276027.6667,276272.3333,274826,274094.3333,273620.6667,275867,277749,280081.3333,282067.6667,284265.6667,285365.3333,285226,285336.3333,286664.3333,288573.6667,291295,294228.6667,297446.6667,300228,303251.6667,306299,309188,312532.3333,316399.3333,319904.6667,322730,325656.3333,327931,329986.6667,330975.6667,331834.6667,332499.6667,333115.6667,334408.3333,335292,336120.6667,337009,338428,340141,341900.6667,343321.3333,344283.3333,345310.6667,346835.3333,348705.3333,349796,350705.3333,351778.6667,353201,354843.3333,356282.3333,358215,359935.6667,362068.3333,363935.3333,365354,365840.6667,366104.6667,366415.3333,366722.3333,367769.3333,369390.3333,372176,374091.3333,376082.6667,377200.6667,378498.3333,379733.6667,381217,382798,383662.3333,385440.3333,386985.6667,389254.6667,391707.6667,394344.6667,396922.6667,398562.3333,400152.6667,401386,402242.6667,403086.6667,403920.6667,405559,407584,409617,411113,411544.3333,412178.6667,412968.6667,414019.3333,414446,414115.3333,414263.6667,415000.3333,416286.6667,417320.6667,418304.6667
394404,"Boston, MA",10,5,701133,698037.5,696443,691673.6667,687623,684264.6667,682531,681977.3333,681034,678909,674423.3333,668577,663475.6667,659734.6667,655619,651898.3333,649486,649192,648887.3333,648915.3333,649236.6667,650379,651408.3333,652996,654865.3333,656886.3333,658478.6667,659479,660176,660349,660535.3333,660430,658825.3333,658011.6667,657208,657845.6667,656969.3333,654983,651518.3333,649290.3333,647048.3333,647084.3333,646552.6667,646731.3333,645152,643160,640646.3333,639061.3333,637324.6667,636681,637178,638081,639607,640780.3333,643434,645543,646974.3333,649518.3333,653329.6667,658186,659981,663992.6667,668927.6667,676285,680749,683647.6667,686040.6667,690470,697189.6667,703665,707967,710613.6667,712875.3333,714654.6667,717170.3333,720808,724850,727833,730336,732502.6667,733665,733256.6667,733704,737173.6667,742526.3333,748041.3333,751375,751701.3333,752194.3333,753256,756702,759810.3333,761971,765079.3333,767376.6667,769339,773392.3333,777842.3333,782066.3333,785297,789081,791987.6667,791823,791134,793203.6667,795079.6667,799211.6667,801711,804115.3333,804815.3333,806877,811155.3333,815803,819876,824230.6667,825795.6667,828695,831125.6667,836867.6667,840847,845174.3333,849262.6667,855242.3333,859373,862643,864192.3333,865531.3333,866441.6667,866665,867888,868706.6667,870461,872139.6667,872862.6667,872186.3333,871062,870436.3333,870907.6667,870663.6667,871474.6667,873753.3333,875674,877437
395057,"San Francisco, CA",11,5,941332,940041,934534.6667,927951.6667,920034.6667,913873.6667,910665,902832.6667,891597.3333,874168.6667,860083.3333,848980,841523,839766.3333,840807.6667,838447.3333,833623.6667,834957.6667,836979.3333,837601.3333,835082.3333,839008.3333,847524.6667,856513,864820,866937.6667,868850,868450.3333,872990.3333,874861.6667,875741,875633,871732,866639.6667,859196.3333,850601,843456.3333,835192,832402.3333,827616.6667,822339.6667,816081.6667,819155,829353.6667,843272,850118.6667,849432,846596.6667,841217.6667,839036.3333,840400.6667,848170,861596.3333,872665,879668,885720.3333,892484,902982,915715.3333,930073.3333,945094.6667,956628.3333,968202.6667,981453.6667,996381,1011207,1024158.333,1033128.667,1042519,1053365.333,1070343,1089416,1104193,1116737.667,1122112,1128131.667,1128126,1128702.667,1126244,1129635.667,1134240,1144419,1154770,1165907,1175673.333,1184515.333,1196312.333,1206430,1216764.667,1226356.667,1244624.333,1267327.333,1294278.333,1311737.333,1323106.667,1335600,1353917,1372380.667,1376396,1379024.667,1380092,1385159.333,1390522.333,1397956.667,1405491.333,1416412.333,1425465.667,1438087,1446467.333,1458358,1469653,1476909,1483946.667,1492660,1496482,1497832.667,1506623,1522965.333,1545449.333,1568058.333,1591316.667,1607449.667,1622310,1638839.667,1656010.333,1667617,1666660.667,1666581.667,1662670,1661511,1654244.333,1636853.333,1623338.333,1617969.667,1619855.667,1624205,1628581.667,1632791,1637337,1636484.667,1637002,1635941.667,1637889.333
395078,"Seattle, WA",15,5,582613,579584.5,576810.3333,569315.3333,562121.3333,554837,549675,543750,538644.6667,533154,526953,517935.6667,511099.6667,504984.3333,500825,493017.3333,486319.6667,480481.3333,477999,476038,474821,474571.6667,474639.3333,474924,474304.3333,474639,474217.3333,475497.3333,476735.6667,476385,473765,470069,467561.6667,463096.3333,458320.6667,453521.3333,449566,447279.3333,444067.6667,441989.3333,436863.6667,433997,430962.6667,429996.6667,427872.3333,425544,423046.3333,420422.3333,417940.6667,414421,414162.6667,415757,421225.3333,426988.6667,432641,437231,441387,446085,450517,454072.6667,456520,459329.3333,462926.3333,468029.3333,473887,478773.3333,484127.6667,489274.6667,494481,498238,500688.3333,503527.3333,507049.6667,510490,511894.3333,512937.6667,513813.6667,518341,521018,523077.3333,523486.6667,525905.6667,529051.3333,533403,538230,542152.6667,545929.3333,549281.6667,554003.3333,557251.6667,561203,566791,572135.3333,577096,581603.3333,586996.6667,590921.3333,594128.6667,597639.3333,602474,608046,613252.6667,618074,621608.6667,625302.3333,629205,635863.3333,644179.3333,652333.3333,660715.6667,667440.6667,675619.3333,682947.3333,690627.3333,698093.3333,704077.6667,709249.3333,716179,722168.3333,730585.3333,739374,752386.6667,763986.6667,772235.6667,774888,773994.3333,770483,768464.3333,769763,770899,770831.6667,769290.3333,768424,766750.3333,764963.3333,762792.6667,760858.3333,758856.6667,758453,759790.6667,760510.3333,761547.6667,765862.3333
394530,"Denver, CO",21,5,396245,394837,393906.6667,392654,391863,391333.3333,390301.3333,389122,388354.3333,387706,387129.6667,385454.6667,383273,381177.6667,379967,379099,379045,378758,378110.3333,377603,377182,377419.6667,376993.6667,376884,377251.6667,378174.3333,378875.3333,379403.6667,379515.3333,379271.3333,378548.6667,377724.3333,376641,375404.6667,374403,373287,371731.6667,369370.3333,367566.3333,366788.3333,366074.3333,365965,365896.6667,366547,367035.3333,367162.6667,367115.6667,366700.6667,366772.6667,366950.3333,367722.3333,368670,371264,374026,377303.6667,379520,382132.6667,384791.6667,387408.6667,389942.3333,392891,395724.6667,398920,401259.6667,404063,407049.3333,411338.3333,415959.6667,419616.6667,421896,423536.3333,426302.3333,428589.6667,430850.6667,432003,433895.3333,436347.6667,438958.6667,441554,443152,445078,447438.6667,450579,454176,458965,463945.3333,468328.6667,471782.6667,474897.6667,478426.3333,481467.3333,485120.6667,488779.3333,492695,496597,500586.6667,503674,507251.6667,510861,514726.3333,517573,519376.3333,521795.6667,524326.6667,526749.6667,529169.6667,531937.3333,535307.3333,539333.6667,543845.6667,547949.6667,550706.6667,552308,553869.6667,555093.6667,556688.6667,559032,562438.3333,565947.3333,570554,574921.3333,579025,582358,585540,588773.3333,591458.6667,594248,596851,599711.3333,602035.6667,605189.3333,606727.6667,607824.3333,609050,610583,611987.6667,611101,610829,610580.3333,611422.6667,612079,613177.3333,613915
394492,"Columbus, OH",32,5,338728,336795.5,335543.3333,332816.6667,331562.6667,330838.6667,330900.3333,330807.3333,330941,330779.3333,330343.3333,329529.3333,328011,326087,322425,319480,316782.3333,315917.3333,315280.6667,314989.3333,315220,315702.3333,315305.6667,315216,315586.6667,317123.3333,317612.3333,317210.6667,316371,315623.6667,314964.3333,314377.3333,313445.6667,312431.6667,311340.6667,310683.6667,309841.6667,309067.6667,308241,307754,306977,306016.6667,304997.6667,304374.6667,304100,303520.6667,303149.6667,302723.6667,302202.6667,301517,301002.3333,300214.3333,299105.3333,298115.3333,298067,298716.6667,299519.3333,300423.6667,300789.3333,300334,299830,300031,302422,305666.6667,309212,312783,316255.6667,319716.3333,321944.6667,323933.6667,326336.3333,328573.6667,330810.3333,332052,332701,333445.6667,334495.3333,336156.3333,337164.6667,337396,337472.3333,337898.3333,339336.6667,341092.3333,342775.6667,344670.3333,346427.6667,347983.3333,349006.3333,349906.6667,351173,352245.3333,353528.6667,354436.3333,355526.6667,356550,357872.6667,359021,360782,362968,364520.3333,365147,365462,366340.6667,367488.6667,368162,368829.3333,369753.6667,372026.6667,375375,378591.3333,380722.3333,381991,383155.6667,384163,385387.6667,386660,388497,391048.6667,393585.3333,395054,395866,398253.6667,402157,405976.6667,408151,409338.6667,410150.6667,410388.6667,411205.6667,412358.6667,414178.3333,416289,417713.6667,418842.6667,419182.6667,420495.3333,421240.6667,421707.6667,421413.6667,422113,423291.6667,423815.3333
394355,"Austin, TX",35,5,416621,416011,415128.6667,413260,411560,409510.6667,408240.3333,406817.6667,406326,405886.6667,403690.3333,401542.3333,399700,398994,397545,395390.3333,393599,392593.3333,391985.3333,390821,389806.6667,388828.6667,389622.6667,389665,388319.6667,386969.6667,386033,386192.3333,386739.3333,387141.6667,386529,385213,383717,382877,381687.6667,380121.6667,378835,377078.6667,376585,377032.6667,377773.3333,378174,378620.3333,379783,381093,381479,381543.3333,381718.6667,382890.6667,384583.3333,386740.3333,388464.6667,390554.6667,392551,394559,396300,396773.3333,397069,396932.3333,398848.3333,401945,405333.6667,408921,412724.3333,416394.6667,419665,422784.3333,425735.6667,428721.3333,432089.3333,436718.3333,440556.6667,442421.6667,444222.6667,446090,449342.6667,452071.6667,454816.6667,456924.3333,459372.3333,462132.6667,464976.3333,467388.3333,469412.3333,471958.3333,474492,476849,478450.3333,479880.3333,481371.3333,483191.6667,485202.6667,487435.3333,489963,492106.6667,494858.6667,497191.3333,499136,500664.3333,501543.6667,502374,503009,504922,505591.3333,506672.6667,508459.6667,512079,514856,515574.3333,516182,517624.6667,519611.3333,521238,522083.3333,521535.3333,521465.6667,521599,523944.6667,526846.3333,529888.6667,531986.6667,532683.6667,533696.3333,534396,535255,536595.3333,538220.6667,541465,542828.6667,544544,544236,545730,548155.6667,552462,554732.3333,555863.6667,556177.3333,557816.3333,559784,562077.3333,565507,565181,565322.3333
395012,"Raleigh, NC",48,5,429013,428753,429078,429001,428782,428135.6667,427952,427882.6667,426548.3333,424940,422317.3333,420254.6667,418235.3333,417714.6667,415256.3333,412032,408236,406576.6667,404946.6667,403469.3333,403046.6667,403094.6667,403096,402355.6667,402710.6667,402090.3333,401267,400683.6667,401101.6667,400937.3333,399230.3333,397229.6667,395303,394110.3333,393274,392962.6667,391431.3333,389609.3333,386381,383524,380751.6667,380013.3333,380258.6667,379480,379183.3333,377669.6667,376734,375379,374169.3333,373775.3333,374087.3333,376404.6667,378008,378497,378088.3333,379090.3333,379971,380764,380650,381414.3333,382817,384669,386820.6667,389087.6667,392108.3333,394592,396569,398530.3333,400880.3333,403298,405029.6667,405105,405796.3333,406774,409045.3333,409542.3333,409716.3333,410433.3333,412586,414038.6667,414403.6667,414409.6667,415734,417288.3333,418277.6667,418703,420139.3333,422267,424224.3333,426096,427589,430128.3333,432383,434840.3333,435686.3333,436606.6667,437417.6667,439056,438401.6667,438391.3333,438782.6667,441520,444293.3333,446309.3333,447638,447871.3333,448834.3333,450463,452506.3333,453962,457163.3333,459249.6667,460775.3333,459817.6667,458929.6667,458435.3333,458881.6667,460879,463074,464660.3333,465575.6667,466014,467375.3333,468606.3333,471206.3333,471912,473110.6667,474315.3333,475980.3333,476814.6667,477835.6667,479302.3333,480621.3333,481855.6667,482957.6667,484133.3333,484171,484203.6667,484441.3333,484448,484634.6667,486067.6667,488970.3333
